name,color,category,sound_url
2001 space odissey,rojo,movies,/audio/2001_space_odissey.mp3
24,naranja,tv,/audio/24.mp3
a team,rojo,tv,/audio/a_team.mp3
acdc,rojo,music,/audio/acdc.mp3
addams family,verde,tv,/audio/addams_family.mp3
adventure time,morado,tv,/audio/adventure_time.mp3
ah ah ah,azul,movies,/audio/ah_ah_ah.mp3
ai seeu te pego,rojo,music,/audio/ai_seeu_te_pego.mp3
aku aku,amarillo,games,/audio/aku_aku.mp3
an enemy,azul,internet,/audio/an_enemy.mp3
applause,verde,real-life,/audio/applause.mp3
arrow in knee,azul,games,/audio/arrow_in_knee.mp3
back to the future,verde,movies,/audio/back_to_the_future.mp3
bad to the bone,verde,music,/audio/bad_to_the_bone.mp3
badadipoopi,amarillo,tv,/audio/badadipoopi.mp3
badger,rojo,internet,/audio/badger.mp3
badumtss,rojo,real-life,/audio/badumtss.mp3
balls of steel,rojo,annoy,/audio/balls_of_steel.mp3
banana phone,amarillo,internet,/audio/banana_phone.mp3
barbra streissand,amarillo,annoy,/audio/barbra_streissand.mp3
bazinga,negro,tv,/audio/bazinga.mp3
beegees,negro,music,/audio/beegees.mp3
bel air,blanco,tv,/audio/bel_air.mp3
bells,amarillo,annoy,/audio/bells.mp3
bender ass,naranja,tv,/audio/bender_ass.mp3
benny hill,rojo,tv,/audio/benny_hill.mp3
beverly hills,azul,music,/audio/beverly_hills.mp3
billy and mandy,negro,tv,/audio/billy_and_mandy.mp3
bird is the word,verde,tv,/audio/bird_is_the_word.mp3
blaster,azul,games,/audio/blaster.mp3
bonnie tyler,amarillo,music,/audio/bonnie_tyler.mp3
boom headshot,rojo,internet,/audio/boom_headshot.mp3
borderland,naranja,games,/audio/borderland.mp3
braveheart,amarillo,movies,/audio/braveheart.mp3
burned,amarillo,tv,/audio/burned.mp3
buzz lightyear,morado,movies,/audio/buzz_lightyear.mp3
cafe con leche,rojo,real-life,/audio/cafe_con_leche.mp3
call me maybe,morado,music,/audio/call_me_maybe.mp3
camera shutter,negro,real-life,/audio/camera_shutter.mp3
cant touch this,blanco,music,/audio/cant_touch_this.mp3
careless whisper,verde,music,/audio/careless_whisper.mp3
carl,verde,internet,/audio/carl.mp3
censor beep,naranja,annoy,/audio/censor_beep.mp3
century fox,negro,movies,/audio/century_fox.mp3
challenge accepted,naranja,tv,/audio/challenge_accepted.mp3
champions,naranja,music,/audio/champions.mp3
chan,azul,real-life,/audio/chan.mp3
chan chan,rojo,real-life,/audio/chan_chan.mp3
